id,name,organization_type,description,location,latitude,longitude,website,phone,email,twitter,facebook,linkedin,instagram,logo_src,site_status,copyright_year,recent_dates,evidence,confidence,logo
33,Biomimicry San Diego,Afterschool/Out-of-School Time,"As a regional network of the Biomimicry Institute, our mission is to empower the San Diego region, through education and community engagement to learn, discover and emulate Life's design to solve humanity's greatest challenges.","San Diego, California, 92101",32.7269669,-117.1647094,https://www.biomimicrysandiego.org/,619-549-6240,info@biomimicrysd.org,,https://www.facebook.com/BiomimicrySD/,https://www.linkedin.com/groups/7037248,,../../../sites/default/files/2018-05/BIOMIMICRY_SD_2015PRINT.jpg,active,unknown,yes,"Active organization offering nature walks, workshops, design challenges, and contact form",high,biomimicry_san_diego.jpg
238,Birch Aquarium at Scripps Institution of Oceanography,"Museums, Science Centers & Zoos","Birch Aquarium at Scripps is the public exploration center for world-renowned Scripps Institution of Oceanography at UC San Diego. See more than 5,000 fish in 60+ habitats plus a museum featuring cutting edge research. Take in spectacular panoramic ocean views, get hands on with interactive activities, see a feeding, and dive deeper into the world under, in, and above the oceans.","2300 Expedition Way, CA, 92037",32.8656956,-117.2503842,https://aquarium.ucsd.edu/,8588224405,smorgansickler@ucsd.edu,https://twitter.com/Birch_Aquarium,https://www.facebook.com/BirchAquarium,,https://www.instagram.com/birchaquarium/,../../../sites/default/files/2018-08/birch.png,active,2024,yes,Active aquarium at UC San Diego,high,birch_aquarium_at_scripps.png
20,Boy Scouts National Foundation,Afterschool/Out-of-School Time,"The Boy Scouts of America National Foundation exists to help secure the future of Scouting. For decades, the Foundation has worked with councils and donors to nurture the philanthropic culture of Scouting. Connecting a donor’s passion and resources with Scouting is the key to a vibrant future.",,,,https://www.bsafoundation.org/,619-261-9440,,,,,,../../../sites/default/files/2018-06/boyscoutsofamerica.png,active,2025,yes,Scouting America Foundation with current 2025-2026 content and active donation programs,high,boy_scouts_national_foundation.png
400,Brain Balance of San Diego,Afterschool/Out-of-School Time,"Brain Balance is a holistic, drug-free approach that combines physical and sensory-motor exercises, academic skills training, healthy nutrition, and confidence building activities to address social, behavioral, and academic challenges in ages 4-24. To help your child reach their goals, Brain Balance of San Diego will develop an individualized plan for your child based on the results of their personal assessment. Our drug-free, integrated approach combines a series of in-center and at-home activities or a virtual program as well as a nutritional program to give your child the tools they need to succeed. The Brain Balance Program can help to alleviate Attention Hyperactivity Deficit Disorder (ADHD), Oppositional Defiant Disorder (ODD), Dyslexia, Asperger Syndrome, Sensory Processing Disorders, Leaky Gut and other common childhood developmental and learning disorders. Help your child find balance and reach their full potential. Contact Brain Balance of San Diego today to learn more.","10175 Rancho Carmel Drive, Suite 124, San Diego, California, 92128",32.9658646,-117.0892454,http://brainbalancesandiego.com,8583245545,sandiego@brainbalancecenters.com,https://twitter.com/BrainBalanceSD,https://www.facebook.com/brainbalancesandiego/,https://www.linkedin.com/company/brain-balance-of-san-diego/?viewAsMember=true,https://www.instagram.com/brainbalancesandiego/,../../../sites/default/files/2021-04/BB_AchCtrs_NewBrain_Stack-Logo.jpg,active,,no,business site with contact info,high,brain_balance_of_san.jpg
507,BSD Education,Business & Industry,"BSD Education is a coding and digital skills education provider. We work with educators at schools, community learning centers, and other education organizations that want to teach future-ready skills to their students. We're known for our unrivaled instructional support. Our model empowers teachers to teach digital skills rooted in coding, even if they have zero experience with code.",,,,https://bsd.education/,847-858-6560,bradford@bsd.education,https://twitter.com/educationbsd?lang=en,https://www.facebook.com/bsdeducation/,https://www.linkedin.com/company/bsdeducation/mycompany/,https://www.instagram.com/bsdeducation/?hl=en,../../../sites/default/files/2021-10/BSD%20Logo.png,active,,no,education provider platform,high,bsd_education.png
267,Busylabs,Business & Industry,"Busylabs provides affordable, 3D printable robot kits. Our kits use inexpensive, off the shelf electronics to keep costs down. With an initial investment in a 3D printer, schools, libraries and enrichment programs can print as many plastic robot parts as needed. If a part breaks, simply print a new one. All software and 3D files for our robots are open source and can be downloaded for free. Finally, our robots are wifi enabled so schools can use their existing technology to program and control the robots.","PO Box 765, Encinitas, California, 92007-0765",33.0170252,-117.2734901,http://busylabs.org,917-882-7182,busylabscentral@gmail.com,,,,,../../../sites/default/files/2019-03/busylabs-logo.png,active,2024,no,Educational STEM program,high,busylabs.png
27,Casa de Amistad,Afterschool/Out-of-School Time,"Since 1997, Casa de Amistad, a non-profit organization, has served children and families in coastal North County San Diego through education and mentoring programs. Its academic mentoring program has grown from serving 3 children on its first night to serving over 200 children and adults annually.","120 Stevens Avenue, Solana Beach, California,  92075",32.9958806,-117.2623039,https://casadeamistad.org/,858-356-4297,,https://twitter.com/Casa_de_Amistad,https://www.facebook.com/CasaDeAmistad.SolanaBeach/,,https://www.instagram.com/casadeamistad/,,active,unknown,unknown,Page loaded with organization name in title,high,
163,Center for Ethics in Science and Technology,"Colleges, Universities, and Certificate/Credential Programs","The Ethics Center provides community forums to promote science that benefits everyone by: fostering collaborative, unbiased dialogue between scientists and a diverse community about potential implications of science and technology; promoting evidence-based understanding of science and technology; and empowering citizens to communicate their needs and values, and make more informed decisions with their wallets, votes, and lives.","9500 Gilman Dr. , San Diego, California, 92093-0612",32.8824069,-117.2348172,http://www.ethicscenter.net/,858-822-2647,info@ethicscenter.net,https://twitter.com/theethicscenter,https://www.facebook.com/TheCenterForEthics,,,../../../sites/default/files/2018-05/EthicsCenter_SquareFormat.jpg,active,none,yes,Organization page,high,center_for_ethics_in.jpg
289,Challenge Island San Diego Coastal,Afterschool/Out-of-School Time,"At Challenge Island, we are dedicated to supporting a brighter future for our kids and communities by offering 21st century skills and STEAM curriculum through whimsical, engaging and action-packed journeys into new worlds of adventure and imagination. We offer customizable options for After School, Camps, Clubs, In-campus Field Trips and many more interactive opportunities for our kids and community. We also extend our engagements for adults and seniors where we use STEAM concepts for stimulating activities that promote and reinforce teamwork and creativity in a fun-filled environment . Corporate STeambuilding, Family or Teacher engagement and Senior Centers recreation are some of our offerings for our wider community. Email sandiegocoastal@challenge-island.com to learn more or connect for partnering towards the cause of furthering STEM/STEAM education for our community!","San Diego, California, 92121",32.8981142,-117.2029363,https://www.challenge-island.com/sandiegocoastal,8589227489,rsehgal@challenge-island.com,https://twitter.com/CSdcoastal,https://www.facebook.com/Challenge-Island-San-Diego-Coastal-2298627353510109/,https://www.linkedin.com/company/37220835,https://www.instagram.com/challengeislandsdcoastal,../../../sites/default/files/2019-08/CI%20Summer%20Logo%20SDC.png,active,none,yes,Real location page for Challenge Island San Diego Coastal with programs and activities,high,challenge_island_san_diego.png
554,Citizen Schools,"CBOs, Family/Parent Organizations, Youth Organizing  & Advisory Groups","Citizen Schools is a national nonprofit organization that partners with middle schools to provide hands-on experiential learning with career mentors. Over the last 25+ years, we have served over 50,000 underrepresented students and engaged over 25,000 volunteer mentors. Our Catalyst Program matches career mentors with Science and CTE teachers, to deliver high-quality experiential learning. These standards aligned project units allow students to become producers of solutions to real-life community challenges, instead of just consumers. Our goals and objectives for this program are: 1) Deeper student engagement through experiential learning, delivered through the partnership of teachers and career mentors 2) Developing capacity of teachers through professional development, focused on experiential learning 3) Building Social Emotional Learning and collaborative problem solving skills for our students 4) Forging critical adult connections through diverse career mentors, who ground project work in real world challenges and expose students to new career pathways We're actively looking to support new schools and partners throughout San Diego.","1 Beacon Street, MA, 02108",42.3584804,-71.0608267,https://www.citizenschools.org/catalyst,2016750002,cassandrapearce@citizenschools.org,https://twitter.com/cschools/,,https://www.linkedin.com/company/citizen-schools/,https://www.instagram.com/citizenschools/,../../../sites/default/files/2022-01/citizen-schools-logo_HR.jpg,active,2024,no,nonprofit education programs,high,citizen_schools.jpg
218,Climate Science Alliance,"CBOs, Family/Parent Organizations, Youth Organizing  & Advisory Groups","Our mission is to accelerate community-driven, nature-based solutions to climate change by making sure local efforts get the resources, visibility, and support they need to succeed. We do this by investing in community and youth, amplifying stories of hope, and matching funders with shovel-ready projects that protect people and ecosystems now and for generations to come. Climate Kids, a program of the Climate Science Alliance, is a series of community-based collaborative projects that provide youth education on climate change through science activities, storytelling, and art. Each Climate Kids project brings together local artists, scientists, educators, and storytellers to engage students of all socioeconomic levels and inspire them to become environmental stewards.","San Diego, CA",32.8264629,-117.2296527,http://www.climatesciencealliance.org/,,info@climatesciencealliance.org,,https://www.facebook.com/climatesciencealliance/,https://www.linkedin.com/company/climate-science-alliance,https://www.instagram.com/climatesciencealliance/,../../../sites/default/files/2018-06/Climate%20Science%20Alliance%20logos%20Final-01_hi%20res.jpg,active,2026,yes,Website states 'celebrating 10 years of community and resilience'. Announces 'Plurinational Climate Art Fellowship' with 'Applications are now open!' for 2026 fellowship program.,high,climate_science_alliance.jpg
412,Coastal Roots Farm,"Museums, Science Centers & Zoos","Coastal Roots Farm is a nonprofit Jewish community farm and education center. We cultivate healthy, connected communities by integrating sustainable agriculture, food justice, and ancient Jewish wisdom. We share organic produce with those who need it most and connect people to compelling Jewish ideas and traditions through farming and food. We distribute food through our on-site pay-what-you-can Farm Stand, pop-up mobile farm stands, and direct donations to local hunger relief organizations. We offer hands-on education and experiences through School and Group Visits, Farm Camp, Farm Tours, Volunteer Opportunities, Jewish Agricultural Festivals, and other community events, inviting our neighbors to connect to the land, Jewish tradition, and each other. Coastal Roots Farm is located in Encinitas, CA on approximately 17 acres of land. Our Farm consists of vegetable production fields, education farm and gardens, a food forest, chickens, and compost operations.","441 Saxony Rd., Encinitas, California, 92024",33.0560503,-117.2834447,https://coastalrootsfarm.org/,909-455-5704,megan@coastalrootsfarm.org,,https://www.facebook.com/coastalrootsfarm/,,https://www.instagram.com/coastalrootsfarm/,../../../sites/default/files/2020-12/CRF%20Logo%20Vertical.jpg,active,2024,no,nonprofit farm operations,high,coastal_roots_farm.jpg
264,"College of Science and Mathematics, CSUSM","Colleges, Universities, and Certificate/Credential Programs","Our college builds upon the successes and accomplishments of the prior College of Arts and Sciences, which was established in 1991 as a ""scholarly community committed to providing comprehensive, high-quality education for students in a rapidly-changing world."" The College of Science and Mathematics continues to promote this vision, through exemplary teaching, innovative curricula, and excellence in research. Integral to the College's instructional mission is the generation of new knowledge through research and creative activity. We provide a supportive learning atmosphere, with rich opportunities for students to interact with their peers and to work with faculty in their research laboratories. The College of Science and Mathematics includes over 100 tenure-track and lecturer faculty in 5 departments, and offers 9 bachelor of science degree programs, several with multiple tracks, as well as 6 master of science degree programs. The College also contributes broadly to the general education of CSUSM's student body.","333 S. Twin Oaks Valley Road, San Marcos, California, 92056",33.1291277,-117.1596548,https://www.csusm.edu/csm/,760-750-7201,lschmelz@csusm.edu,https://twitter.com/csusm_csm,https://www.facebook.com/pg/California-State-University-San-Marcos-College-of-Science-Mathematics,https://www.linkedin.com/company/csusm-college-of-science-and-mathematics,https://www.instagram.com/csm_csusm/,../../../sites/default/files/2019-02/CSM%20LOGO%20HILLS%20ABOVE%20BLUE%20660x200.png,active,2024,no,University science college,high,college_of_science_and.png
215,Design Code Build,Afterschool/Out-of-School Time,"We live in an interesting time in terms of the evolution of art, design, and technology. With a camera on every smartphone and the enormous popularity of photo editing and sharing apps like Instagram, visual tastes are growing exponentially more sophisticated. What will this mean for future designs for software and hardware? Science, Technology, Engineering and Math offer the tools to help build the way the world will work in the future – and Art, while different in some ways than a STEM education, is no less important. For kids who are familiar with popular apps and websites, but not with programming, learning to code can be intimidating since it can feel like there is such a disconnect between a bottom-up “Hello World” approach to programming and mastering the programming languages that come together to create the beautiful and complex apps and sites they use. Kids might have big ideas about what they want their website or app to look like, and do, but how do they get there? In our classes we provide a birds-eye view of different programming languages and a “peek under the hood” of well-known apps and sites to provide greater context to the code that students will be learning to write. Students will also learn about graphics production and how to integrate graphics into their code. We hope that by providing a 360º view of the process of creating modern digital media, whether an app, a website, or a game, students will begin to become conversant in these technologies and feel more empowered to explore their creativity.","416 13th Street, San Diego, California, 92101",32.7097727,-117.1531066,https://designcodebuild.com,8187957184,catherine.eng@designcodebuild.com,https://twitter.com/designcodebuild,https://facebook.com/designcodebuild,https://linkedin.com/company/designcodebuild,https://instagram.com/designcodebuild,../../../sites/default/files/2018-06/logo_stemecosystem.jpg,active,unknown,yes,Active enrollment website advertising 'Augmented Reality / Virtual Reality camp this summer' and coding/design programs for kids ages 7-17 in La Jolla UTC. References 'Marshmallow Run' current programs.,high,design_code_build.jpg
274,DETOUR - FANCY Teen Girls Leadership Academy,"CBOs, Family/Parent Organizations, Youth Organizing  & Advisory Groups","DETOUR is a mentoring program for girls of color. Our vision is to see equity and inclusion for teen girls of color in higher education and priority sector employment. Our mission is to increase access to education and employment opportunities for girls through our Focused And Naturally Confident Youth (F.A.N.C.Y.) Leadership programs (Expo, Leadership Academy, and Ambassador Internships.) We provide a series of educational workshops and activities to engage teen girls by fostering a safe-space allowing them to express themselves, ask questions surrounding their experiences, and create positive relationships with females to enhance growth and development. Our evidence-based curriculum includes lessons on confidence building, personal growth, developing leadership skills, accountability, and team building. Our world is in desperate need of programs that introduce girls of color to fields and demonstrations they are not typically exposed to. DETOUR sets out to dismantle stereotypes while building the girls up with self-confidence and the desire to pursue their passions, regardless of today's societal boundaries.","404 Euclid Avenue, Suite #329, San Diego, California, 92114",32.7090711,-117.0878204,http://www.detourempowers.org,%28619%29750-1180,tinesia@detourempowers.org,,https://www.facebook.com/DetourFancyTeenGirls,,https://www.instagram.com/detourfancy/,../../../sites/default/files/2023-04/Detour%20Fancy.png,active,2025,yes,"Mentions '2025 California Woman of the Year' for founder Tinesia Conwright, '2025-26 school year' for academy",high,detour_fancy_teen_girls.png
486,DIII-D National Fusion Facility,"Colleges, Universities, and Certificate/Credential Programs","The DIII-D National Fusion Facility is a national user facility funded by the U.S Department of Energy, Office of Science. It operates the largest operating tokamak in the United States, called DIII-D, and hosts researchers from more than 100 institutions worldwide. The focus of the DIII-D National Fusion Facility is performing plasma physics and fusion research for the purpose of advancing fusion energy as a limitless, non-carbon-based energy source capable of meeting global energy needs.","3550 General Atomics Ct. MS 13-361, San Diego, California, 92121",32.8935109,-117.2338526,https://www.d3dfusion.com,%28858%29287-4885,starlinge@fusion.gat.com,,,,,../../../sites/default/files/2021-07/DIII-D%20Atom%20Logo%20-%20Blue.png,active,2024,no,research facility information,high,diiid_national_fusion_facility.png
485,Discover U at San Diego Public Library,Libraries,"The City of San Diego Public Library serves the informational, educational and recreational interests of San Diego through 36 branches, Central Library, the READ/San Diego literacy program, and an online presence. Mission of the San Diego Public Library ""To inspire lifelong learning through connections to knowledge and each other."" Overview The San Diego Public Library is a popular destination that connects our diverse community to free educational and cultural resources that will enrich their lives. With 6.6 million visitors, the Library is the largest cultural institution in San Diego that offers FREE programming.","330 Park Blvd, San Diego, California, 92101",32.7084937,-117.1540925,https://www.sandiego.gov/public-library,619-236-5807,discoveru@sandiego.gov,,,,,,active,2024,no,government library services site,high,
276,DRS Daylight Solutions,Business & Industry,"Our Slogan To Inspire with Light Mission Our Mission is to share our love of Science, Technology, Engineering and Mathematics with San Diego County youth, through demonstration, education and mentoring in the area of photonics and its related disciplines. Vision Our Vision is to cultivate a smarter, kinder, safer, and more beautiful world by inspiring a passion in youth to learn, develop, and apply photonics-based knowledge in their education and careers.","San Diego, California",32.715738,-117.1610838,http://www.daylightsolutions.com/,%28858%29432-7580,tom.watson@drs.com,https://twitter.com/drs_daylight,https://www.facebook.com/DaylightSolutions/,https://www.linkedin.com/company/daylight-solutions/,,../../../sites/default/files/2019-04/Daylight%20Solutions%20Logo_%20%28710%20x%20200%20px%29.png,active,none,yes,"Active commercial website with product listings, careers page, and modern design showing current operations",high,drs_daylight_solutions.png
237,EastLake Educational Foundation,District/School,The EastLake Educational Foundation (EEF) raises private money and community support to achieve the highest quality educational opportunities in public schools by funding technology needs and STEAM programs. We bring the private and public sector together to prepare kids for an innovative future.,"PO BOX 210004, Chula Vista, California, 91921",32.62,-117.01,http://www.eefkids.org,8587037621,janethfrancis@eefkids.org,,https://www.facebook.com/EEFKids,,,../../../sites/default/files/2018-08/EEF%20logo%20with%20padding%20%282%29.jpg,active,2024,no,Local educational nonprofit,high,eastlake_educational_foundation.jpg
370,EcoVivarium,"Museums, Science Centers & Zoos","We bring our animals to you!  Our STEM-based education programs can be taught virtually, or in-person in outdoor settings such as at your school or a local park.  We can also host small groups in the outdoor portion of our museum.  All of our classes are taught to NGSS and Common Core standards and star our live, rescued reptiles! We teach one-time and multi-day classes on a variety of subjects, from biology and ecology to cross-disciplinary classes that incorporate history and cultural studies.  Some of our classes include: Insect or Arachnid? Slithering serpents Super squamates Beyond the scales (anatomy) Extreme adaptations Meet your neighbors (San Diego natives) Dragons East and West Mythological creatures and more! Please view our full catalog of options on our website or contact us for more information.","641 E. Pennsylvania Ave., Escondido, CA, 92025",33.1263943,-117.0743056,http://www.ecovivarium.org,7607959690,education@ecovivarium.org,,http://www.facebook.com/ecovivarium,,http://www.instagram.com/ecovivarium,../../../sites/default/files/2020-08/EV%20Logo%20wo%20tagline.png,active,none,yes,Real organization website with content,high,ecovivarium.png
